controller,unsafe_time,control_energy,position_error,motor_heat,max_abs_position,productivity,seed
GSCX,0.0,0.319886984832909,0.2269759194598269,2.144178608125965,1.0823489516424147,0.4397601116007375,1871
PID,0.3077777777777777,0.8678659875502972,0.9439927531856982,5.732330834073022,2.743443655214828,0.1971516114320639,1872
GSCX,0.0366666666666666,0.4868360975380101,0.3883131506189234,3.314989016046654,1.830313040522598,0.3265017098637811,1872
PID,0.2386111111111111,0.8357360752354831,0.8500956243577938,5.509870737977744,2.8350592409709288,0.2075352134779616,1873
GSCX,0.0,0.4652086318732104,0.3394189955908417,3.139627123563159,1.1559081098404014,0.3545743149899467,1873
PID,0.2866666666666667,0.8361441339560292,0.9048571528780264,5.504277074266188,2.4835215148778267,0.2048007779250805,1874
GSCX,0.0880555555555555,0.6509711165690706,0.5726150600599115,4.299481983558274,2.412366024064602,0.2628002276927009,1874
PID,0.2788888888888889,0.8674635154758883,0.9034022406046712,5.722433470681042,2.4154977770112214,0.2017877839310343,1875
GSCX,0.0,0.3409365751359371,0.2390809364717832,2.3131005853737885,1.0194578924856157,0.4258344129993624,1875
PID,0.0827777777777777,0.5949594447095132,0.4672673509774567,4.022702235534311,1.7763721726088784,0.2868934952671103,1876
GSCX,0.0683333333333333,0.616486104238914,0.520118941726227,4.18036064154897,1.8242372752539,0.2777841348899041,1876
PID,0.3005555555555556,0.8710958510075278,0.9407650040835888,5.7485949595083365,2.6263568830914665,0.1978411081773725,1877
GSCX,0.2680555555555555,0.817249281461952,0.8662700381363015,5.387234703040597,2.4819929036793638,0.2095519623096179,1877
PID,0.2875,0.8510467880296801,0.91830688402489,5.605317697621472,2.68809145502258,0.2014082141769524,1878
GSCX,0.1566666666666666,0.6510308803646636,0.6288801530592681,4.403922674332971,2.0401367220030537,0.254609185382067,1878
PID,0.6286111111111111,0.9242026350905956,1.579012829108447,6.118124264735521,3.8377905477754792,0.1566589099286029,1879
GSCX,0.0,0.3014405086628898,0.2133732426730144,2.0233408280080294,0.7961469989380646,0.4599676947501572,1879
PID,0.7591666666666667,0.9470828669905444,2.23776912654924,6.269312878273599,5.341843081124626,0.1336508758187153,1880
GSCX,0.0,0.3622364059485519,0.2526588979875854,2.440988206087036,1.0758164835288648,0.4124774391321077,1880
PID,0.7566666666666667,0.9461831326294622,2.192741746474814,6.257622831575916,5.439653846853656,0.1344557438858941,1881
GSCX,0.2461111111111111,0.8196240387549607,0.8562036810769394,5.409354142865011,2.551801897675025,0.2102493993836306,1881
PID,0.4980555555555555,0.9057735900687024,1.2834964750485909,5.9813947928819005,3.6333287308732047,0.1710282455501,1882
GSCX,0.1152777777777777,0.6788299341828595,0.6284104260614789,4.62808074460435,2.7645500228617523,0.2460886073714932,1882
PID,0.2855555555555555,0.8531097077979343,0.8967187257797946,5.636816465990663,2.8781426950311944,0.2010410545548496,1883
GSCX,0.0130555555555555,0.3796273557827782,0.2783943273623868,2.548097469285767,1.3250406499982534,0.3935519476034415,1883
PID,0.7197222222222223,0.9393552157258492,1.9995706163175784,6.20857443061392,4.743888174801165,0.1411586537965895,1884
GSCX,0.0041666666666666,0.3708475795809678,0.2709152601207479,2.479053603720799,1.2469842427333433,0.402194091997487,1884
PID,0.3894444444444444,0.8727375912214236,1.108049446622524,5.792894433238582,3.48217299468968,0.1836073667451663,1885
GSCX,0.1958333333333333,0.7692257830567792,0.7524404368985468,5.047232924641739,2.233430557243879,0.227055342073639,1885
PID,0.2713888888888889,0.8466574328061137,0.8490234384597911,5.572916813038295,1.863222546873956,0.2100655819935232,1886
GSCX,0.0,0.3808786437162541,0.2701636057938137,2.552510559751842,0.9666344045113576,0.4035593644575265,1886
