H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,9,0.1,0.0,0.0,0.02,0.0,12.375395859362792,53.63876028979049,138.64327851871872,266.1688774305097,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.0,0.05,0.0,11.164980348381478,52.37345389786209,137.3779713198517,264.90357023164256,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.002,0.0,0.0,14.418208454783397,55.71867766534093,140.7231962682639,268.24879518005497,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.002,0.02,0.0,12.374889477590552,53.63808631371268,138.64260437867642,266.16820329046743,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.002,0.05,0.0,11.164601918965534,52.37291051567365,137.3774277736989,264.9030266854898,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.01,0.0,0.0,14.414985901211727,55.71477749001093,140.71929543707617,268.2448943488672,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.01,0.02,0.0,12.372864610170591,53.63539113357567,138.63990854268204,266.165507454473,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.0,0.01,0.05,0.0,11.16308860744074,52.370737455150405,137.37525405731836,264.9008529691092,-0.9999999999999996,stable_acceleration
64.0,0.1,0.3,9,0.1,0.01,0.0,0.0,0.0,13.951712171611064,55.51683697645935,141.14876269497114,269.61564775154113,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.0,0.02,0.0,12.20319250888755,53.73070920673277,139.36263437528913,267.82951943185907,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.0,0.05,0.0,11.054629280142295,52.52676376658155,138.15868811020508,266.625573166775,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.002,0.0,0.0,13.950996808883383,55.515950149110544,141.14787570000158,269.6147607565716,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.002,0.02,0.0,12.202708490505806,53.730055572019175,139.36198057295482,267.8288656295248,-1.0000000000000016,runaway
64.0,0.1,0.3,9,0.1,0.01,0.002,0.05,0.0,11.054262349213516,52.52622989066805,138.1581540666708,266.6250391232407,-1.0000000000000016,runaway
