H0,A,a_t,n,k,Omega_nu,BH_fraction,early_residual,vacuum_decay,present_age_Gyr,time_to_a10_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,fate
64.0,0.1,0.3,4,0.1,0.01,0.0,0.05,1e-05,11.044353301132784,52.516592653496225,138.14788206826074,266.30429098768997,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.0,0.0,13.941847225231234,55.507176921659806,141.13910327679775,269.6059883333684,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.0,1e-05,13.941816586969832,55.50685460077487,141.13814522210959,269.2945541415389,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.02,0.0,12.192357473574303,53.720088470327255,139.3520142758149,267.81889933238546,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.02,1e-05,12.19233013228836,53.71977010199957,139.35106017369637,267.50746909312556,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.05,0.0,11.044010599818417,52.51637312837449,138.14829810938704,266.61518316595755,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.002,0.05,1e-05,11.043986642676767,52.51605909963551,138.147348346876,266.30375726630524,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.0,0.0,13.938987288437872,55.503631385334096,141.13555707036102,269.60244212693163,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.0,1e-05,13.93895666536434,55.50330909232077,141.13459904355906,269.29100796298843,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.02,0.0,12.190423168889348,53.71747595520703,139.34940109058385,267.8162861471544,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.02,1e-05,12.190395839694647,53.7171576114482,139.34844701304908,267.5048559324783,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.05,0.0,11.042544341447908,52.51423933914468,138.14616365004656,266.61304870661706,-1.0000000000000016,runaway
64.0,0.1,0.3,4,0.1,0.01,0.01,0.05,1e-05,11.042520393776124,52.51392533205882,138.1452139092032,266.30162282863245,-1.0786406851968133,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.0,0.0,13.278207094345778,55.38937753179289,142.3189563181945,272.73268572356704,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.0,1e-05,13.27817802878586,55.389044883762125,142.3179585949814,272.40779317044843,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.02,0.0,11.877703013958335,53.950583200428305,140.8801614118192,271.2938908171914,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.02,1e-05,11.877676785716876,53.95025406698406,140.87916720320575,270.96900177867263,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.05,0.0,10.83648782007298,52.852981979444316,139.7825593283198,270.1962887336918,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.1,0.03,0.0,0.05,1e-05,10.83646465071916,52.85265689205751,139.7815691657839,269.8714037412506,-1.0807227858839843,runaway
64.0,0.1,0.3,4,0.1,0.03,0.002,0.0,0.0,13.277600147129881,55.3885949196492,142.31817353079296,272.7319029361655,-1.0000000000000007,runaway
64.0,0.1,0.3,4,0.1,0.03,0.002,0.0,1e-05,13.277571084971674,55.38826227833236,142.3171758142977,272.40701038976476,-1.0807227858839843,runaway
