A,a_t,n,k,present_age_Gyr,time_to_a2_Gyr,time_to_a10_Gyr,time_to_a100_Gyr,time_to_a1000_Gyr,time_to_a1e6_Gyr,q_future,bh_feed_final,bh_sector_today,fate
0.2,0.3,4,0.03,13.517607855586965,24.661554807970585,52.731244299338556,93.099865072722,133.4698239666357,254.54270194762373,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,4,0.1,13.588329650543848,24.73207542567597,52.801697592354195,93.17031778655009,133.54027667988544,254.61315466087302,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,4,0.3,13.72700928887135,24.870386777278398,52.93988568820222,93.30850482201599,133.67846371429195,254.75134169527843,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,4,1.0,13.780498940014143,24.923743139641733,52.99319744004198,93.36181619005878,133.7317750819512,254.80465306293738,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,6,0.01,13.523317019069072,24.666625636813603,52.73609756026324,93.10471645756692,133.4746753496068,254.5475533305931,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,6,0.03,13.531490659334125,24.674796511586116,52.74426764403924,93.11288653468613,133.48284542671925,254.55572340770553,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,6,0.1,13.59807580934046,24.74135978565891,52.81082466105881,93.17944349904475,133.549402391025,254.62228037201126,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,6,0.3,13.72966271969457,24.872906690229517,52.94236012291586,93.31097886459769,133.6809377564819,254.75381573746805,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,6,1.0,13.780783159517652,24.92401266456144,52.99346195970912,93.36208066656808,133.73203955841745,254.8049175394036,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,9,0.01,13.534763917071603,24.67799412686511,52.747443539102385,93.11606224692235,133.48602113877268,254.55889911975882,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,9,0.03,13.542511763384706,24.68574188794385,52.755191278690134,93.12380998632982,133.49376887818,254.56664685916613,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,9,0.1,13.605798895574052,24.74902834592861,52.81847756668114,93.18709627289712,133.55705516474595,254.6299331457321,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,9,0.3,13.73175718568325,24.874985403203237,52.944434313109205,93.31305301672118,133.68301190856738,254.75588988955352,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,9,1.0,13.781007133445103,24.924234905229532,52.99368370274783,93.36230240541835,133.73226129726368,254.8051392782498,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,12,0.01,13.539629446876729,24.682857235714337,52.752306036328626,93.12092473902493,133.49088363087026,254.5637616118564,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,12,0.03,13.547189996257444,24.6904177826281,52.75986658266153,93.12848528535287,133.4984441771982,254.57132215818436,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,12,0.1,13.609038769786837,24.752266536644015,52.82171533208283,93.19033403473587,133.56029292658118,254.63317090756735,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,12,0.3,13.73261122511937,24.875838956294793,52.94528774333204,93.31390644591482,133.68386533776007,254.75674331874623,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.3,12,1.0,13.781097249722203,24.924324967996792,52.99377375199645,93.3623924545538,133.73235134639904,254.8052293273852,-0.9999999999999999,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.5,4,0.01,13.341452049214023,24.489990252020664,52.56124299164988,92.92987723289507,133.29983614026492,254.37271412126668,-1.0,7.999999999999936e-15,0.00063,stable_acceleration
0.2,0.5,4,0.03,13.355247845546913,24.50360639103806,52.57479813387237,92.94343184982561,133.31339075667069,254.38626873767205,-1.0,7.999999999999936e-15,0.00063,stable_acceleration
