controller,seed,survived,collapse_time,peak_A,min_temp,max_density,unsafe_time,control_energy,fusion_yield,yield_per_energy
PID,113,0,8.485,1.5506942469391694,0.7974988160921024,1.1211550842177516,4.62799999999988,5.441290467095165,3.324589217232322,0.6109927850251601
PID,114,0,8.332,1.5506837331942291,0.7778659113809352,1.131508099064392,5.301000000000105,5.741271472033953,2.6384401692560617,0.4595567692014724
PID,115,0,8.524000000000001,1.5506460536431192,0.7624991145484045,1.1496460721932595,5.969000000000328,5.238971365496828,2.491026476942504,0.4754800709300674
PID,116,0,8.521,1.5501897394928421,0.7377415896318608,1.1673932252721608,5.6590000000002245,5.396603796404135,2.0792633021774325,0.38529107939656343
PID,117,0,8.950000000000001,1.5502216656277745,0.8994241039515786,1.0566374670623973,0.6620000000000005,5.337618347225891,6.095355413901738,1.1419616421109806
PID,118,0,8.547,1.5502931213887254,0.7522010106558362,1.152979644304588,5.912000000000309,6.4452687565497895,2.1292128299522775,0.3303528386552047
PID,119,0,8.519,1.5502878775965216,0.8324126915478715,1.0991015093119079,2.4909999999998367,4.703328533314504,3.929817454512501,0.8355396451345835
PID,120,0,8.465,1.5500945535107546,0.7746131478208794,1.1409696956172533,4.794999999999936,4.878190152441977,2.6746865710816294,0.5482948566886863
PID,121,0,8.493,1.5514397413700765,0.7639004589805903,1.1475749388192222,5.875000000000297,5.331484302344411,2.2680092591739105,0.42539921907885964
PID,122,0,8.428,1.5505529663669337,0.8000761773599642,1.1190076390429644,3.8089999999996915,5.1730728486508415,3.26329439023912,0.6308232041347295
PID,123,0,8.429,1.5500063777394248,0.8100630073882245,1.1112565891469488,3.604999999999714,5.25712000762205,3.4231222755699076,0.6511402193512311
PID,124,0,8.555,1.5503403000059592,0.781194990456191,1.1344219657429218,4.572999999999862,5.7248353110869825,3.0083027016371577,0.5254828370845281
PID,125,0,8.495000000000001,1.5505335908609208,0.7220391089552974,1.178242970189286,7.415000000000811,5.56835220644424,1.537981739686266,0.27620051361517023
PID,126,0,8.548,1.551437924223105,0.8044520083822342,1.1175752870090487,3.968999999999674,5.5752326209116845,3.3069261335204123,0.5931458573627202
PID,127,0,8.822000000000001,1.551234138297876,0.7507318707738951,1.1606567497461922,6.306000000000441,6.6793668457299615,2.503796515172268,0.37485536767576394
PID,128,0,8.71,1.5505104544287704,0.8874765376160666,1.0583514466812154,0.6540000000000005,5.655290127770594,5.5173849997185975,0.9756148445239934
PID,129,0,8.687,1.5509791935334594,0.7765643695920548,1.1410871842657124,3.684999999999705,5.80614126584263,2.860461621631043,0.4926613890651264
PID,130,0,8.521,1.5500892831749624,0.8346808204383601,1.093847520119192,2.2099999999998676,5.739973092667307,3.951803740214866,0.6884707777767705
PID,131,0,8.897,1.5501073231683946,0.8923317874577722,1.0611620005365523,0.7680000000000006,5.165357216537942,5.978764887433459,1.1574736529612615
PID,132,0,8.403,1.5504560791701634,0.7498721718332911,1.1516645893285082,6.1740000000003965,6.12860656769851,2.198139381899872,0.3586687050734725
PID,133,0,8.529,1.5502028507188435,0.7806333109556125,1.135327202357674,5.101000000000038,5.478013461692738,2.767431641517712,0.5051889084181569
PID,134,0,8.513,1.55060189129217,0.7275465490803866,1.1751209840882075,6.374000000000463,5.478326388954271,1.8570114869745435,0.3389742331489754
PID,135,0,8.503,1.5502142717462297,0.8331365040696178,1.0972722413269804,2.9919999999997815,4.918722094381856,4.198629664776362,0.8536017248704533
PID,136,0,8.605,1.5509391827488785,0.822923305270325,1.1051703590273407,4.02799999999968,5.402935180036304,3.982282822272761,0.7370591518939791
PID,137,0,8.519,1.551776019655427,0.7451231296415189,1.1614544021824376,6.419000000000478,5.456350940858974,2.0913297402308437,0.3832835832070452
PID,138,0,8.531,1.5516305314276573,0.8423342702643467,1.0890396785373073,2.3289999999998545,5.361031696932701,4.3018914511506665,0.802437234760157
PID,139,0,8.934000000000001,1.5500583726989516,0.8850544423664731,1.0635452751546088,0.6650000000000005,6.245622619216902,5.503965517379154,0.8812516945168885
PID,140,0,8.529,1.5500447852341102,0.7467026049618873,1.161107039059312,6.088000000000368,5.224187223378053,2.155334980751976,0.4125684796851001
PID,141,0,8.393,1.550233615232144,0.7715357880980058,1.1405155470394281,5.0510000000000215,5.04319378866384,2.6142660814637266,0.5183750992915908
PID,142,0,8.528,1.5506671128349847,0.7649670775190023,1.1450699107754483,4.914999999999976,5.986094768589194,2.3697739658716577,0.3958797942709964
PID,143,0,8.549,1.5505068702086073,0.7559678602878965,1.1531888897540943,5.912000000000309,5.72678844010844,2.4184341675701715,0.42230199219688214
PID,144,0,8.577,1.5500800708860702,0.7686874828175629,1.1459371383311712,4.782999999999932,5.3137699134831,2.8848233201892857,0.5428957908633703
PID,145,0,8.472,1.5504732253073779,0.8088379810687731,1.1136034413615399,2.9009999999997915,5.057934494066534,3.42999296386799,0.6781410410145833
PID,146,0,8.482,1.5505054403507863,0.7729875886213269,1.1380945942917626,5.124000000000046,5.934783549071266,2.4829483263263374,0.41837217909935764
PID,147,0,8.714,1.5507640062057293,0.8241927180252439,1.1063222281298812,3.315999999999746,5.482835035601461,4.259196763478609,0.7768238028402684
PID,148,0,8.504,1.5500777719468657,0.7683570095248017,1.143524973511728,5.786000000000267,5.459771252761451,2.550221833301956,0.4670931646715067
PID,149,0,8.427,1.5505136659560737,0.761588872959381,1.147378280978541,5.499000000000171,5.416048577694438,2.1790412497960707,0.40233044776739024
PID,150,0,8.473,1.5512012503149526,0.8303744651961305,1.0972224404170228,3.168999999999762,5.210579094321301,3.91816943288937,0.7519642944116489
PID,151,0,8.491,1.5508225273654783,0.7625927959681651,1.1486054130460128,5.922000000000312,5.247537307410124,2.2357933435940627,0.4260652592237507
PID,152,0,8.523,1.551255608299711,0.7728119841034116,1.136753796877498,4.5689999999998605,6.382046866350697,2.5522133093496993,0.3999051342612859
